"Colour Master — every fabric/item colourway sourced directly from Decora spec files and product datasets (not from the trade book price grids, which only give collection/band, not individual colours). See Notes / Improvements for categories not yet covered.",,,,,
Product Category,Collection,Colour Name,Colour Code,Band,Source File
FB Romans,Lorenzo,Frost,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Ink,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Ivory,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Jade,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Lemon,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Linen,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Mauve,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Mouse,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Shell,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Smoke,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Terracotta,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorenzo,Wheat,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lovella,Pebble,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lovella,Red,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lumi,Champagne,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lumi,Dove,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lumi,Mink,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lumi,Pearl,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lumi,Pistachio,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lumi,Rose,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lumi,Rust,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lumi,Smoke,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Marble+,Ivory,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Marble+,Tusk,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Memento,Aurora,,C,PDF: SPEC46 Roman & Curtain
