"Fabric & Item Band Master — every fabric/item mapped to its correct pricing band. Advisors look up here (or via Quick Quote) — never memorise bands. Sorted with real fabrics first; accessory and motorisation items (brackets, chains, remotes, tape colours etc.) are grouped at the bottom of this list and excluded from the Fabric/Item dropdown, so scrolling the dropdown only shows fabrics.",,,,,,,,,,
FB_ID,Supplier,Product Category,Collection,Fabric/Item Name,Fabric/Item Code,Band,Price Table Reference,Fabric Type/Properties,Blackout/Dimout/Sheer/FR/Moisture Resistant,Notes
FB-00501,Decora,Cruze Fit To Frame,,Amos,,Price Band E,PT-00077,,,Auto-parsed from fabric list
FB-00548,Decora,FB Softcell V-Series,,Amos,,Price Band E,PT-00082,,,Auto-parsed from fabric list
FB-01188,Decora,Perfect Fit Sunwood ,Blind Only - No Frame - Glide System / Frame Only- Glide System / COMPLETE BLIND - Glide System / KONNECT MAGNETIC STRIP,Anodised,,Blind Only - No Frame - Glide System / Frame Only- Glide System / COMPLETE BLIND - Glide System / KONNECT MAGNETIC STRIP,PT-00162,,,Auto-parsed from fabric list
FB-01367,Decora,Perfect Fit Alumitex,BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND A: COMPLETE BLIND - Free Hanging / Privacy System / BLIND ONLY - No Frame - Free Hanging/Privacy System / FRAME ONLY - Free Hanging / Privacy System / KONNECT MAGNETIC STRIP / Price Band A - Plain Colours & Metallic,Anodised,,BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND A: COMPLETE BLIND - Free Hanging / Privacy System / BLIND ONLY - No Frame - Free Hanging/Privacy System / FRAME ONLY - Free Hanging / Privacy System / KONNECT MAGNETIC STRIP / Price Band A - Plain Colours & Metallic,PT-00171,,,Auto-parsed from fabric list
FB-01376,Decora,Perfect Fit Alumitex,"108"" / * Shaded area - free hanging only.  Tensioned not available / Handle Insert / uplift / 112"" / Frame pricing is for demonstration purposes only and cannot / Folding Handle / 120"" / be sold separately. / BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND B: COMPLETE BLIND - Free Hanging / Privacy System / BLIND ONLY - No Frame - Free Hanging/Privacy System / FRAME ONLY - Free Hanging / Privacy System / Price Band B - Premium Metallic & Effects",Anodised,,"108"" / * Shaded area - free hanging only.  Tensioned not available / Handle Insert / uplift / 112"" / Frame pricing is for demonstration purposes only and cannot / Folding Handle / 120"" / be sold separately. / BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND B: COMPLETE BLIND - Free Hanging / Privacy System / BLIND ONLY - No Frame - Free Hanging/Privacy System / FRAME ONLY - Free Hanging / Privacy System / Price Band B - Premium Metallic & Effects",PT-00173,,,Auto-parsed from fabric list
FB-01386,Decora,Perfect Fit Alumitex,BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND A: COMPLETE BLIND - Glide System / BLIND ONLY - No Frame - Glide System / FRAME ONLY - Glide System / Price Band A - Plain Colours & Metallic,Anodised,,BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND A: COMPLETE BLIND - Glide System / BLIND ONLY - No Frame - Glide System / FRAME ONLY - Glide System / Price Band A - Plain Colours & Metallic,PT-00175,,,Auto-parsed from fabric list
FB-01395,Decora,Perfect Fit Alumitex,Frame pricing is for demonstration purposes only and cannot / be sold separately. / Handle Insert / uplift / Folding Handle / BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND B: COMPLETE BLIND - Glide System / BLIND ONLY - No Frame - Glide System / FRAME ONLY - Glide System / Price Band B - Premium Metallic & Effects,Anodised,,Frame pricing is for demonstration purposes only and cannot / be sold separately. / Handle Insert / uplift / Folding Handle / BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND B: COMPLETE BLIND - Glide System / BLIND ONLY - No Frame - Glide System / FRAME ONLY - Glide System / Price Band B - Premium Metallic & Effects,PT-00177,,,Auto-parsed from fabric list
FB-01189,Decora,Perfect Fit Sunwood ,Blind Only - No Frame - Glide System / Frame Only- Glide System / COMPLETE BLIND - Glide System / KONNECT MAGNETIC STRIP,Anthracite,,Blind Only - No Frame - Glide System / Frame Only- Glide System / COMPLETE BLIND - Glide System / KONNECT MAGNETIC STRIP,PT-00162,,,Auto-parsed from fabric list
FB-01237,Decora,25mm Alumitex,PLAIN/METALLIC - 25MM,Anthracite,,PLAIN/METALLIC - 25MM,PT-00169,,,Auto-parsed from fabric list
FB-01368,Decora,Perfect Fit Alumitex,BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND A: COMPLETE BLIND - Free Hanging / Privacy System / BLIND ONLY - No Frame - Free Hanging/Privacy System / FRAME ONLY - Free Hanging / Privacy System / KONNECT MAGNETIC STRIP / Price Band A - Plain Colours & Metallic,Anthracite,,BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND A: COMPLETE BLIND - Free Hanging / Privacy System / BLIND ONLY - No Frame - Free Hanging/Privacy System / FRAME ONLY - Free Hanging / Privacy System / KONNECT MAGNETIC STRIP / Price Band A - Plain Colours & Metallic,PT-00171,,,Auto-parsed from fabric list
FB-01377,Decora,Perfect Fit Alumitex,"108"" / * Shaded area - free hanging only.  Tensioned not available / Handle Insert / uplift / 112"" / Frame pricing is for demonstration purposes only and cannot / Folding Handle / 120"" / be sold separately. / BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND B: COMPLETE BLIND - Free Hanging / Privacy System / BLIND ONLY - No Frame - Free Hanging/Privacy System / FRAME ONLY - Free Hanging / Privacy System / Price Band B - Premium Metallic & Effects",Anthracite,,"108"" / * Shaded area - free hanging only.  Tensioned not available / Handle Insert / uplift / 112"" / Frame pricing is for demonstration purposes only and cannot / Folding Handle / 120"" / be sold separately. / BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND B: COMPLETE BLIND - Free Hanging / Privacy System / BLIND ONLY - No Frame - Free Hanging/Privacy System / FRAME ONLY - Free Hanging / Privacy System / Price Band B - Premium Metallic & Effects",PT-00173,,,Auto-parsed from fabric list
FB-01387,Decora,Perfect Fit Alumitex,BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND A: COMPLETE BLIND - Glide System / BLIND ONLY - No Frame - Glide System / FRAME ONLY - Glide System / Price Band A - Plain Colours & Metallic,Anthracite,,BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND A: COMPLETE BLIND - Glide System / BLIND ONLY - No Frame - Glide System / FRAME ONLY - Glide System / Price Band A - Plain Colours & Metallic,PT-00175,,,Auto-parsed from fabric list
FB-01396,Decora,Perfect Fit Alumitex,Frame pricing is for demonstration purposes only and cannot / be sold separately. / Handle Insert / uplift / Folding Handle / BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND B: COMPLETE BLIND - Glide System / BLIND ONLY - No Frame - Glide System / FRAME ONLY - Glide System / Price Band B - Premium Metallic & Effects,Anthracite,,Frame pricing is for demonstration purposes only and cannot / be sold separately. / Handle Insert / uplift / Folding Handle / BLIND ONLY - NO FRAME / FRAME ONLY / PRICE BAND B: COMPLETE BLIND - Glide System / BLIND ONLY - No Frame - Glide System / FRAME ONLY - Glide System / Price Band B - Premium Metallic & Effects,PT-00177,,,Auto-parsed from fabric list
FB-01407,Decora,Prime Alumitex,16mm Prime Alumitex,Anthracite,,16mm Prime Alumitex,PT-00181,,,Auto-parsed from fabric list
FB-00300,Decora,Softshade Perfect Fit,PRICE BAND A / Mahogany Frame / Luna,Anthracite Frame,,PRICE BAND A,PT-00053,,,Auto-parsed from fabric list
FB-00358,Decora,Perfect Fit Cruze TDBU,CZP12 Perfect Fit Tensioned Top Down Bottom Up - Golden Oak & Mahogany Frame / Price Band A,Anthracite Frame,,Price Band A,PT-00063,,,Auto-parsed from fabric list
FB-00409,Decora,Perfect Fit Cruze BU,CZP11 Perfect Fit Tensioned Bottom Up - Golden Oak & Mahogany Frame / Price Band A,Anthracite Frame,,Price Band A,PT-00068,,,Auto-parsed from fabric list
FB-01238,Decora,25mm Alumitex,PLAIN/METALLIC - 25MM,Apache,,PLAIN/METALLIC - 25MM,PT-00169,,,Auto-parsed from fabric list
FB-01239,Decora,25mm Alumitex,PLAIN/METALLIC - 25MM,Aqua,,PLAIN/METALLIC - 25MM,PT-00169,,,Auto-parsed from fabric list
FB-01468,Decora,Timberlux Prime,ADDITIONAL INFORMATION: / Tape uplift - 10% / Slat Pack - 30% reduction on ladder pricing / 50MM TIMBERLUX® BAMBOO,Arcana,,ADDITIONAL INFORMATION: / Tape uplift - 10% / Slat Pack - 30% reduction on ladder pricing / 50MM TIMBERLUX® BAMBOO,PT-00186,,,Auto-parsed from fabric list
FB-01419,Decora,Prime Alumitex,ALUMITEX PRIME VENETIANS - 35/50MM / ALUMITEX PRIME VENETIANS WITH TAPES - 35/50MM / Price Band A,Arctic,,Price Band A,PT-00182,,,Auto-parsed from fabric list
FB-01196,Decora,Fauxwood,FAUXWOOD - 35/50MM,Arctic Oak (50mm),,FAUXWOOD - 35/50MM,PT-00164,,,Auto-parsed from fabric list
FB-01216,Decora,Fauxwood,FAUXWOOD WITH HERRINGBONE TAPES - 35/50MM,Arctic Oak (50mm),,FAUXWOOD WITH HERRINGBONE TAPES - 35/50MM,PT-00166,,,Auto-parsed from fabric list
FB-00950,Decora,FB Verticals,,Aria,,PRICE RANGE B,PT-00130,,,Auto-parsed from fabric list
FB-00991,Decora,FB Slats Only ,,Aria,,PRICE RANGE B,PT-00134,,,Auto-parsed from fabric list
FB-00315,Decora,Cruze FH & Tensioned,**Max size for Bowery is 1200mm x 1600mm,Arlo,,Price Band B,PT-00059,,,Auto-parsed from fabric list
FB-00366,Decora,Perfect Fit Cruze TDBU,Price Band B,Arlo,,Price Band B,PT-00064,,,Auto-parsed from fabric list
FB-00417,Decora,Perfect Fit Cruze BU,Price Band B,Arlo,,Price Band B,PT-00069,,,Auto-parsed from fabric list
FB-00464,Decora,Cruze Fit To Frame,,Arlo,,Price Band B,PT-00074,,,Auto-parsed from fabric list
FB-00511,Decora,FB Softcell V-Series,,Arlo,,Price Band B,PT-00079,,,Auto-parsed from fabric list
